record_id,brand,product_family,variant_label,asin,original_amazon_seller_sku,upc_gtin12,gtin13,width_in,length_in,color,country_of_origin,product_type,power_status,construction,outer_textile_and_binding,inner_faraday_fabric,specification_evidence_status,specification_effective_date,care_summary,product_url,last_reviewed
18x18-grey,RADIHALT,Faraday / EMF Shielding Blankets & Mats,18 x 18 in — Grey,B0BXRNFPVR,UK-9SB2-PIM6,628942398186,0628942398186,18,18,Grey,China,Passive consumer textile blanket/mat,Nonpowered,"One cotton outer layer; one copper/nickel Faraday fabric inner layer; textile edge binding and stitching.","100% cotton (supplier-declared)","60% polyester / 32% copper / 8% nickel (supplier-confirmed 2026-07-26)",supplier_confirmed_current_production_spec_not_independently_tested,2026-07-26,"Hand wash below 40°C with mild/neutral detergent; do not machine wash or tumble dry; hang dry cotton side out; cool iron outer cotton side only.",https://www.amazon.com/dp/B0BXRNFPVR,2026-09-22
18x18-black,RADIHALT,Faraday / EMF Shielding Blankets & Mats,18 x 18 in — Black,B0G4TSV9PJ,EL-3WPZ-SUOB,628942398230,0628942398230,18,18,Black,China,Passive consumer textile blanket/mat,Nonpowered,"One cotton outer layer; one copper/nickel Faraday fabric inner layer; textile edge binding and stitching.","100% cotton (supplier-declared)","60% polyester / 32% copper / 8% nickel (supplier-confirmed 2026-07-26)",supplier_confirmed_current_production_spec_not_independently_tested,2026-07-26,"Hand wash below 40°C with mild/neutral detergent; do not machine wash or tumble dry; hang dry cotton side out; cool iron outer cotton side only.",https://www.amazon.com/dp/B0G4TSV9PJ,2026-09-22
36x30-grey,RADIHALT,Faraday / EMF Shielding Blankets & Mats,36 x 30 in — Grey,B0F6WB7LGW,9Y-M8HD-51DZ,628942398254,0628942398254,36,30,Grey,China,Passive consumer textile blanket/mat,Nonpowered,"One cotton outer layer; one copper/nickel Faraday fabric inner layer; textile edge binding and stitching.","100% cotton (supplier-declared)","60% polyester / 32% copper / 8% nickel (supplier-confirmed 2026-07-26)",supplier_confirmed_current_production_spec_not_independently_tested,2026-07-26,"Hand wash below 40°C with mild/neutral detergent; do not machine wash or tumble dry; hang dry cotton side out; cool iron outer cotton side only.",https://www.amazon.com/dp/B0F6WB7LGW,2026-09-22
36x30-black,RADIHALT,Faraday / EMF Shielding Blankets & Mats,36 x 30 in — Black,B0G4TSVM2W,CF-XROO-NOVK,628942398247,0628942398247,36,30,Black,China,Passive consumer textile blanket/mat,Nonpowered,"One cotton outer layer; one copper/nickel Faraday fabric inner layer; textile edge binding and stitching.","100% cotton (supplier-declared)","60% polyester / 32% copper / 8% nickel (supplier-confirmed 2026-07-26)",supplier_confirmed_current_production_spec_not_independently_tested,2026-07-26,"Hand wash below 40°C with mild/neutral detergent; do not machine wash or tumble dry; hang dry cotton side out; cool iron outer cotton side only.",https://www.amazon.com/dp/B0G4TSVM2W,2026-09-22
